room_id,ship_id,room_name,size,max_persons,room_price,room_features
1,1,Phòng Delta Suite,33,2,4150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,1,Phòng Ocean Suite,33,2,4370000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,1,Phòng Captain Suite,38,2,4620000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
4,1,Phòng Regal Suite,46,2,4870000,"Wi-Fi, Nhìn ra biển, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
5,2,Phòng Junior Suite,32,2,4125000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
6,2,Phòng Suite,42,2,4870000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
7,2,Phòng Executive Suite,54,2,5625000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
8,2,Phòng President Suite,80,2,9250000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
9,3,Phòng Junior Suite có ban công riêng,25,2,3700000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
10,3,Phòng Junior Suite thông nhau,50,4,3700000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
11,3,Phòng Executive Suite có ban công riêng,30,2,4200000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
12,3,Phòng Suite Gia đình có ban công riêng,35,3,4200000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
13,3,Phòng Panorama Suite có ban công ,40,2,6400000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
14,4,Phòng Deluxe có ban công riêng,28,2,4150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
15,4,Phòng Premium Deluxe Balcony,28,2,4750000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
16,4,Phòng Exclusive có sân hiên tắm nắng,45,2,6400000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
17,4,Phòng Gia đình Deluxe có ban công riêng,56,4,5000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
18,4,Phòng Gia đình Premium có ban công riêng,56,4,5650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
19,5,Phòng Junior Suite,18,2,3200000,"Nhìn ra biển, Điều hòa, Ban công riêng, Wi-Fi, Sạc điện thoại, Két an toàn"
20,5,Phòng Senior Suite,18,2,3300000,"Nhìn ra biển, Điều hòa, Ban công riêng, Wi-Fi, Sạc điện thoại, Két an toàn"
21,5,Phòng Royal Suite,30,2,4300000,"Nhìn ra biển, Điều hòa, Ban công riêng, Wi-Fi, Sạc điện thoại, Két an toàn"
22,6,Phòng Deluxe có ban công riêng ,25,2,4150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
23,6,Phòng Executive có ban công riêng,25,2,4450000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa, Két an toàn"
24,6,Phòng Elegance Suite có ban công riêng,35,2,5350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
25,6,Phòng Captain Suite có ban công riêng,35,2,5650000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
26,7,Phòng Junior Suite,38,2,4750000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
27,7,Phòng Superior Suite,40,2,4925000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
28,7,Phòng Terrace Suite,42,2,5150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn, Ban công riêng"
29,8,Phòng Junior Suite có ban công riêng,32,2,3500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
30,8,Phòng Triple Junior Suite có ban công riêng,32,3,3500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
31,8,Phòng Senior Suite có ban công riêng,32,2,3800000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Két an toàn, Sạc điện thoại"
32,8,Phòng Executive Suite có ban công riêng,55,2,4700000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
33,8,Phòng President Suite có ban công riêng,55,2,5100000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
34,9,Phòng Suite có ban công   ,25,2,3100000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
35,9,Phòng Panorama Suite có ban công ,24,2,3150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
36,9,Phòng Suite Gia đình tầng 1,28,3,3100000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
37,9,Phòng Suite Gia đình tầng 2,35,3,3300000,"Nhìn ra biển, Ban công riêng, Wi-Fi"
38,10,Phòng Terrace Suite,45,2,7650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
39,10,Phòng Family Terrace Suite,90,4,9000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
40,10,Phòng Premium Terrace Suite,45,2,8275000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
41,10,Phòng Family Premium Terrace Suite,90,4,9600000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
42,10,Phòng Orchid Premium Exclusive Suite,65,2,11050000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
